LENSID,NIMG,IMG,ID,Parity,ZLENS,ZSRC,VELDISP,ELLIP,PHIE,KAPPA,GAMMA,S,DELAY,MAGI_IN,r0_r,RE_micro,weighted-score
5746512,4,C,5746512_C,Minimum,0.51,3.22,285.7591,0.4940088,127.8693,0.41,0.37,0.8,85.199,22.33,8.179138636436974,278.2890813705636,0.30703254127815993
22637172,4,A,22637172_A,Saddle,0.884,2.98,279.2544,0.4923544,-22.89258,0.62,0.65,0.7,50.739,21.81,9.946745001136216,218.58249928722898,0.3069891139789101
778708,2,A,778708_A,Saddle,0.246,1.24,198.6095,0.5335635,-3.00342,0.76,0.74,0.6,20.403,19.99,15.012651065475039,393.242045263849,0.3068671194668581
17971789,2,B,17971789_B,Saddle,0.802,1.74,224.3882,0.4950462,-149.9316,0.73,0.75,0.7,86.822,20.75,12.841597105074536,215.19263785480555,0.3067716307904747
23829907,2,B,23829907_B,Saddle,0.904,2.09,226.9865,0.4029228,123.4507,0.72,0.69,0.7,41.675,21.51,10.070867173980643,210.11586411180195,0.3067421837279197
16701014,2,A,16701014_A,Saddle,0.778,3.27,224.3882,0.4443794,93.5058,0.72,0.69,0.7,126.091,21.21,13.059983892056488,229.56021926720334,0.30669292753389427
3793356,4,B,3793356_B,Minimum,0.436,1.18,302.6913,0.2874933,-57.47785,0.41,0.32,0.8,0.0,21.93,6.545864931830997,277.48741999860357,0.30660279904747584
5497032,2,B,5497032_B,Minimum,0.502,1.85,189.2344,0.2933657,-12.98627,0.38,0.41,0.8,0.0,22.19,7.250125201970846,290.19335591243924,0.306551671107288
5396535,4,A,5396535_A,Minimum,0.498,2.02,236.592,0.426004,134.5991,0.39,0.39,0.8,7.054,22.57,6.408864567094439,293.7100428084108,0.3065352582218193
50804925,4,A,50804925_A,Minimum,1.274,2.91,215.7744,0.3173445,-164.8832,0.42,0.41,0.8,0.0,22.67,6.919831740047134,178.7588932831486,0.3064518028602939
1601450,4,B,1601450_B,Saddle,0.318,1.22,225.4239,0.2311603,1.997001,0.72,0.79,0.7,10.55,19.55,17.864404660389873,340.02403370059756,0.30644213161030026
16588128,2,B,16588128_B,Saddle,0.776,2.65,214.2891,0.2817004,114.4113,0.7,0.67,0.7,56.57,21.97,9.004997062972285,234.8713186575784,0.30611946144290353
1600477,2,A,1600477_A,Minimum,0.318,1.62,207.4914,0.2993341,28.40303,0.37,0.37,0.8,0.0,21.75,8.227684045342425,362.3701922026123,0.3060596335593433
18386319,2,A,18386319_A,Saddle,0.81,3.44,196.7886,0.4340726,117.3303,0.72,0.74,0.7,61.833,19.15,31.040911782893335,223.3094756083148,0.306058323393399
5509296,2,A,5509296_A,Saddle,0.502,4.0,223.8721,0.2656776,124.9002,0.71,0.68,0.7,44.875,21.81,10.640076910350585,263.5610937662411,0.3060048034754202
3341818,4,B,3341818_B,Minimum,0.416,1.99,236.0478,0.4292951,106.5078,0.4,0.41,0.8,0.0,22.81,5.769328359499802,321.5163065190543,0.30600460170006
9125121,2,A,9125121_A,Saddle,0.61,1.79,260.6154,0.4020389,19.11958,0.72,0.68,0.7,81.389,22.17,7.213205227319144,258.8760818495049,0.30588860501984383
43076626,4,B,43076626_B,Saddle,1.178,4.16,242.1029,0.6245871,-151.1573,0.66,0.64,0.7,23.48,22.13,9.387451148025997,181.41918508772693,0.30560800231733454
7468874,2,B,7468874_B,Minimum,0.564,1.73,255.2701,0.2235427,-169.1189,0.4,0.36,0.8,0.0,21.29,10.241582493176008,269.02824122583866,0.30551507461627164
11564153,2,A,11564153_A,Minimum,0.67,2.26,267.9168,0.1668586,-26.45633,0.42,0.37,0.8,0.0,21.39,10.88198164546218,253.121770569475,0.3055080263484831
15485490,2,B,15485490_B,Minimum,0.754,2.82,236.592,0.296449,126.3906,0.4,0.42,0.8,0.0,19.69,23.589191852657134,237.42802797081507,0.3053967280173438
11303547,2,B,11303547_B,Saddle,0.664,1.87,255.8586,0.3255462,-44.93488,0.73,0.68,0.7,69.645,22.11,7.526841943261498,248.48132144683143,0.305216576839636
690167,4,A,690167_A,Saddle,0.236,0.89,183.2314,0.3896116,-162.8528,0.69,0.67,0.7,4.773,22.45,4.494868246584614,355.5945801069191,0.3048186306846236
9512552,4,A,9512552_A,Saddle,0.62,1.79,276.6942,0.3855952,-57.26656,0.74,0.68,0.7,43.841,22.33,6.750381048093012,256.40987686637715,0.30477343881880353
4790524,4,A,4790524_A,Minimum,0.476,2.09,243.7811,0.2469712,-57.00796,0.41,0.37,0.8,0.0,21.95,8.392026914526442,300.9427114479164,0.3046919137179445
15374418,2,A,15374418_A,Saddle,0.752,3.88,250.6109,0.009167956,124.7902,0.75,0.69,0.7,0.0,20.85,15.745221115174049,224.2261683394788,0.3044507124878692
213258,4,D,213258_D,Saddle,0.156,1.72,254.683,0.4980711,-143.4207,0.68,0.74,0.7,32.618,21.25,10.387349066263338,518.4320075106809,0.30435610277253045
1287655,4,C,1287655_C,Minimum,0.294,1.38,264.85,0.52198,-104.5663,0.35,0.41,0.9,0.0,22.01,6.8578194000611985,367.08769495171885,0.30431465251510653
26484223,2,B,26484223_B,Minimum,0.946,1.76,258.226,0.2638269,43.11724,0.41,0.39,0.8,0.0,20.69,13.22794709068689,190.0470829899744,0.30416271864200406
3973033,2,B,3973033_B,Minimum,0.444,1.79,198.6095,0.1578156,8.814104,0.41,0.36,0.8,0.0,21.75,8.58476257840814,308.4947770854888,0.30394337737373917
8742080,4,D,8742080_D,Minimum,0.6,1.49,207.9697,0.2931641,7.096846,0.4,0.38,0.8,0.0,21.15,10.158645872830187,247.8656749508573,0.3038667906211793
3091283,4,A,3091283_A,Minimum,0.404,1.41,296.4831,0.4883036,155.2007,0.37,0.39,0.9,0.0,22.75,5.099234959274683,310.0050016938926,0.30385857556727197
1681688,2,A,1681688_A,Saddle,0.324,1.84,193.1968,0.2339241,-2.401038,0.76,0.74,0.6,23.342,20.21,16.43609714045007,363.0002140400241,0.303821261490326
14873127,4,C,14873127_C,Saddle,0.742,2.32,218.7762,0.2990579,141.3884,0.63,0.66,0.7,27.84,22.57,6.732430859599899,240.00110453631902,0.30365408153429785
1239532,2,A,1239532_A,Saddle,0.29,3.35,216.7704,0.4882611,78.63889,0.82,0.79,0.6,48.214,20.27,19.39340626603313,353.9802671887101,0.30354175401283096
305643,2,A,305643_A,Minimum,0.178,2.62,145.8814,0.2595767,-144.6049,0.39,0.32,0.8,0.0,21.17,12.502589261136551,469.9674450837014,0.3034700816075846
1258647,4,B,1258647_B,Minimum,0.292,2.67,205.5891,0.5618968,-108.8842,0.36,0.36,0.8,10.392,21.59,10.564643020411634,372.01954684819043,0.30339692295719195
3044629,2,B,3044629_B,Minimum,0.402,1.42,247.1724,0.3402872,-140.562,0.38,0.37,0.8,0.0,20.87,11.152632398183599,311.4781495610792,0.30335212906273723
38933261,2,A,38933261_A,Saddle,1.124,1.81,293.765,0.4254578,-64.85814,0.92,0.94,0.6,174.812,17.55,49.170453762748316,164.1320181431704,0.3033222026693585
1403846,2,B,1403846_B,Minimum,0.304,1.77,157.0363,0.1735881,90.78737,0.42,0.37,0.8,0.0,20.89,12.204336218942055,373.87619618360554,0.3032591986911247
1260694,2,A,1260694_A,Saddle,0.292,1.91,207.9697,0.4806727,10.77718,0.72,0.68,0.7,43.935,21.95,8.110455328960075,382.51718301016706,0.30324862750413184
23474868,2,A,23474868_A,Minimum,0.898,2.85,233.8837,0.2292449,-23.08236,0.4,0.42,0.8,0.0,21.25,12.393673417360281,217.42451407769067,0.3031510900019744
8979513,2,A,8979513_A,Minimum,0.606,1.49,274.1574,0.2430037,74.22906,0.37,0.39,0.9,0.0,20.91,11.221110037807184,246.22387201119292,0.30313988255807217
6932098,2,A,6932098_A,Saddle,0.548,2.07,277.332,0.04401492,-118.303,0.7,0.64,0.7,0.0,22.09,7.891023048925832,279.9350398947077,0.3031005523628751
16184719,4,B,16184719_B,Minimum,0.768,1.4,236.592,0.4257725,133.0422,0.39,0.41,0.8,13.552,22.07,6.736213831470157,198.6651475060159,0.30289748057422633
19619827,2,A,19619827_A,Saddle,0.832,1.66,316.2278,0.2289453,-66.08459,0.81,0.79,0.7,122.481,20.11,16.40984925884747,205.0096040648115,0.302591063620813
5399741,2,A,5399741_A,Saddle,0.498,3.24,218.7762,0.1016964,150.8859,0.64,0.69,0.7,0.0,21.83,10.077848414432369,280.8434962065296,0.30248209967041984
93052,2,B,93052_B,Saddle,0.118,2.21,155.9553,0.2976252,170.325,0.75,0.73,0.6,4.342,20.79,13.846541115181726,586.6714052262901,0.3023970098023491
5058554,4,A,5058554_A,Saddle,0.486,2.32,236.592,0.529043,168.0073,0.62,0.65,0.7,7.28,21.89,8.924253577419044,297.59777062818694,0.30236945409160537
9677321,4,B,9677321_B,Saddle,0.624,2.32,271.6439,0.09783643,2.612557,0.76,0.65,0.7,34.492,23.11,5.382349586568751,262.84645318760846,0.3023356470957738
8742080,4,B,8742080_B,Saddle,0.6,1.49,207.9697,0.2931641,7.096846,0.72,0.73,0.7,14.69,21.15,10.158645872830187,247.8656749508573,0.3023314285498741
2613095,2,B,2613095_B,Minimum,0.38,2.75,240.9905,0.19944,-124.941,0.39,0.41,0.8,0.0,20.65,15.732696081511731,327.93046569093974,0.3022953041559244
849836,2,A,849836_A,Saddle,0.254,2.77,170.6082,0.1206041,132.3919,0.69,0.67,0.6,0.0,23.29,5.278461573928294,393.9666858873193,0.30213163471094306
1518113,2,B,1518113_B,Minimum,0.312,2.78,272.8978,0.248206,-87.01604,0.37,0.36,0.9,0.0,21.83,9.677311279515404,358.1958513004404,0.3016107871494921
9202853,4,C,9202853_C,Minimum,0.612,1.78,243.7811,0.4069857,92.20046,0.39,0.37,0.8,0.0,20.27,15.817071062845121,258.0697957651548,0.3015868620479636
20638847,2,B,20638847_B,Minimum,0.85,1.86,229.0868,0.1546521,-103.3974,0.41,0.41,0.8,0.0,19.43,22.807805479696576,211.59043829203705,0.3013228426337514
14094303,4,B,14094303_B,Saddle,0.726,2.48,204.6445,0.3540608,-22.80807,0.63,0.68,0.7,22.4,21.83,9.350270924924873,243.26560739095544,0.30124909460247057
4790524,4,D,4790524_D,Saddle,0.476,2.09,243.7811,0.2469712,-57.00796,0.65,0.65,0.7,35.998,21.95,8.392026914526442,300.9427114479164,0.3011473139268957
16896009,2,A,16896009_A,Saddle,0.782,2.37,195.8845,0.427423,-63.507,0.68,0.71,0.7,39.704,20.47,16.190248523447003,233.53979981244004,0.3010658105829384
16919296,4,C,16919296_C,Minimum,0.782,3.52,291.0717,0.4090182,-145.0846,0.37,0.42,0.9,0.0,22.21,8.778018384073977,225.78663777490365,0.3010550970134277
2119451,2,A,2119451_A,Minimum,0.352,2.24,239.8833,0.2083706,-5.481319,0.35,0.36,0.9,0.0,19.89,20.201229697049182,348.13962790374933,0.3009927917271174
